Bak Doha,박도하,-,Cube,K,2002,
Cha Woongki,차웅기,-,WakeOne,K,2002,
Choi Jiho,최지호,-,FNC,K,2004,
Choi Seunghun,최승훈,-,OUI,K,2008,
Choi Woojin,최우진,-,Redstart,K,2005,
Han Seobin,한서빈,-,H1GHR,K,2006,
Han Yujin,한유진,-,Yuehua,K,2007,
Han Yuseop,한유섭,-,Jellyfish,K,2004,
Hong Keonhee,홍건희,-,Redstart,K,2004,
Jang Jiho,장지호,-,FirstOne,K,2004,
Jang Minseo,장민서,-,Woollim,K,2006,
Jang Yeojun,장여준,-,Jellyfish,K,2005,
Jeon Hoyoung,전호영,-,OUI,K,2004,
Jeon Wooseok,전우석,-,ALLART,K,2003,
Jeong Ichan,정이찬,-,Independent,K,2001,
Ji Yunseo,지윤서,-,Yuehua,K,2004,
Jo Eunwoo,조은우,-,Independent,K,2004,e
Jung Hojin,정호진,-,Independent,K,2003,
Jung Hwanrok,정환록,-,Independent,K,2002,
Jung Mingyu,정민규,-,CABIN74,K,1999,
Jung Seyun,정세윤,-,Woollim,K,2007,
Kim Gyuvin,김규빈,-,Yuehua,K,2004,
Kim Jiwoong,김지웅,-,Independent,K,1998,
Kim Minhyuk,김민혁,-,Independent,K,1999,
Kim Minseoung,김민성,-,Redstart,K,2003,
Kim Taerae,김태래,-,WakeOne,K,2002,
Kum Junhyeon,금준현,-,Redstart,K,2004,
Lee Daeul,이다을,-,143,K,2004,
Lee Donggun,이동건,-,Great M,K,2005,
Lee Dongyeol,이동열,-,TOP,K,1998,
Lee Hoetaek,이회택,-,Cube,K,1993,
Lee Hwanhee,이환희,-,TOP,K,1998,
Lee Jeonghyeon,이정현,-,WakeOne,K,2002,
Lee Seunghwan,이승환,-,Independent,K,2000,
Lee Yedam,이예담,-,LM,K,2003,
Lim Junseo,임준서,-,143,K,2005,
Mun Junghyun,문정현,-,WakeOne,K,2005,
Oh Sungmin,오성민,-,WakeOne,K,2001,
Park Gunwook,박건욱,-,Jellyfish,K,2005,
Park Gwanyoung,박관영,-,Independent,K,2001,
Park Hanbin,오성민,-,WakeOne,K,2002,
Park Hyunbeen,박현빈,-,Jellyfish,K,2005,
Park Jihoo,박지후,-,H1GHR,K,2006,
Park Minseok,박민석,-,WakeOne,K,2002,
Seo Won,서원,-,FirstOne,K,2000,
Sung Hanbin,성한빈,-,GL1DE,K,2001,
Yeom Taegyun,염태균,-,RAIN,K,2002,e
Yoo Seungeon,유승건,-,Yuehua,K,2004,
Yoon Jongwoo,유종우,-,Independent,K,2000,
Anthonny,안토니,-,WakeOne,G,2004,
Brian,브라이언,-,Yuehua,G,2002,
Cai Jinxin,蔡锦昕,차이진신,TopClass,G,2003,
Chen Jianyu,陈建宇,천지안위,Star On,G,1998,
Chen Kuanjui,陈冠睿,천관루이,Independent,G,2000,
Chen Liang,陈梁,천리앙,Independent,G,2000,
Chen Renyou,陈任佑,천런유,Independent,G,2003,
Chen Yugeng,陈誉庚,천위겅,T.ENTER,G,1998,
Cong,콩,-,Independent,G,2000,
Dang Honghai,당홍하이,-,Fantagio,G,2003,
Dong Dong,东东,동동,Stardust,G,2000,
Feng Junlan,冯俊岚,펑쥔란,Stardust,G,1999,
Haru,暖琉,하루,Independent,G,2006,
Haruto,晴翔,하루토,WakeOne,G,2004,
Hiroto,大翔,히로토,RBW,G,2002,
Hyo,飛燿,효,Watanabe,G,2002,
Ichika,一翔,이치카,OD,G,1992,
Itsuki,邊樹,이츠키,MLD,G,2006,
Jay,제이,-,Fm,G,2001,
Kei,敬,케이,Stardust,G,2006,
Keita,佳汰,케이타,RAIN,G,2001,
Krystian,크리스티안,-,Independent,G,2000,
Lin Shiyuan,林士元,린스위안,Independent,G,1998,
Ma Jingxiang,马靖翔,마징시앙,Independent,G,2004,
Min,민,-,WakeOne,G,2000,
Na Kamden,나캠든,-,FNC,G,2001,
Nice,나이스,-,Independent,G,2000,
Ollie,올리,-,Yuehua,G,2006,
Osuke,央修,오스케,Independent,G,2003,
Ouju,桜樹,오쥬,HyperRhythm,G,2004,
Qiu Shengyang,邱胜扬,치우성양,TPOP,G,2001,
Ricky,리키,-,Yuehua,G,2004,
Riku,陸,리쿠,Independent,G,2004,
Seok Matthew,석매튜,-,MNH,G,2002,
Takuto,拓斗,타쿠토,YY,G,2007,
Tao Yuan,陶源,타오위안,OCJ,G,2000,e
Toui,透唯,토우이,FNC,G,2003,
Wang Yanhong,王颜宏,왕옌홍,ASE,G,1998,
Wang Zihao,王子浩,왕즈하오,Chromosome,G,2001,
Wen Yechen,文邺辰,원예천,Independent,G,2000,
Winne,위니,-,FirstOne,G,1998,
Wumuti,吾木提,우무티,JPark,G,1999,
Xuan Hao,宣淏,쉬안하오,Stardyehot,G,1995,
Yang Jun,杨钧,양쥔,ASE,G,1999,
Yuki,由暉,유키,Independent,G,2001,
Yutaka,豊,유타카,Independent,G,1999,
Yuto,佑都,유토,Independent,G,2004,
Zhang Hao,章昊,장하오,Yuehua,G,2000,
Zhang Shuaibo,张帅博,장슈아이보,WELL,G,2002,
